feature_group,n_features,base_auroc,mean_auroc_drop,mean_auprc_drop
memory,5,0.8999294771961057,0.1604135042493986,0.21661233058399487
structure,14,0.8999294771961057,0.05409118626969235,0.06860836216862218
confidence,12,0.8999294771961057,0.0496607418961604,0.0891043181852582
ligand,2,0.8999294771961057,0.0077240870172210156,0.012029177355044718
rank,2,0.8999294771961057,0.006065106989421587,0.011024448943810827
