threshold,objective,primary,secondary,tertiary,selector,outer_fold,chosen_threshold
0.02,low_success,0.12246520684753132,0.6040741999504886,-0.3959258000495114,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.05,low_success,0.12246520684753132,0.6069836234784688,-0.39301637652153115,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.1,low_success,0.12703484691012912,0.6088352655362964,-0.3911647344637035,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.2,low_success,0.13414901623481348,0.6167703049146348,-0.38322969508536514,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.3,low_success,0.13884385191556464,0.6204740086183386,-0.3795259913816615,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.4,low_success,0.14373579901802674,0.6276147678209534,-0.3723852321790466,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.5,low_success,0.14608321685840234,0.6278799474675764,-0.3721200525324237,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.6,low_success,0.14608321685840234,0.6281442879381024,-0.37185571206189766,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.7,low_success,0.14608321685840234,0.6268227953794964,-0.3731772046205036,nested_pair_rank_structure_antimemory_low_success,0,0.6
0.02,low_success,0.1320519896307446,0.6064555719194894,-0.39354442808051054,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.05,low_success,0.13681874111505335,0.6085711348597947,-0.39142886514020536,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.1,low_success,0.14138838117765115,0.6122742091814257,-0.3877257908185743,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.2,low_success,0.14608321685840234,0.6204731694422416,-0.3795268305577584,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.3,low_success,0.1509751639608644,0.6249701043515477,-0.37502989564845235,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.4,low_success,0.1509751639608644,0.6257637551451984,-0.37423624485480156,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.5,low_success,0.14608321685840234,0.6273508469384758,-0.3726491530615242,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.6,low_success,0.14608321685840234,0.6265586647029946,-0.3734413352970054,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.7,low_success,0.14608321685840234,0.627351895908597,-0.3726481040914031,nested_pair_rank_structure_memory_antimemory_low_success,0,0.4
0.02,all_success,0.6030162086863117,0.12474070888434935,-0.3969837913136882,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.05,all_success,0.6067190732139186,0.138969047533718,-0.39328092678608145,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.1,all_success,0.6135959115340559,0.14595802124024895,-0.3864040884659441,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.2,all_success,0.6180924268553135,0.14830543908062455,-0.38190757314468654,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.3,all_success,0.6223250212940935,0.14608321685840234,-0.37767497870590655,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.4,all_success,0.626557196144825,0.14843063469877793,-0.373442803855175,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.5,all_success,0.6270860868799013,0.14353868759631583,-0.3729139131200987,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.6,all_success,0.627085877085877,0.14353868759631583,-0.3729141229141229,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.7,all_success,0.6281447075261508,0.14353868759631583,-0.3718552924738492,nested_pair_rank_structure_memory_ordinary_all_success,0,0.7
0.02,low_success,0.13723668757225804,0.6072418799222924,-0.39275812007770766,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.05,low_success,0.13723668757225804,0.6096224127151962,-0.3903775872848037,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.1,low_success,0.13723668757225804,0.6133252772428031,-0.38667472275719694,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.2,low_success,0.14201419234976284,0.6180867624166594,-0.38191323758334067,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.3,low_success,0.14428156038894294,0.619673224827864,-0.380326775172136,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.4,low_success,0.14877094910651958,0.622053757620768,-0.3779462423792321,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.5,low_success,0.15100808557184398,0.6265496435599528,-0.37345035644004715,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.6,low_success,0.15605859062234903,0.6289295469707841,-0.37107045302921593,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.7,low_success,0.15380633837009675,0.6270785342950291,-0.37292146570497087,nested_pair_rank_structure_antimemory_low_success,1,0.6
0.02,low_success,0.14428156038894294,0.6141193476245023,-0.3858806523754977,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.05,low_success,0.15102320135877184,0.6172926920349601,-0.3827073079650399,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.1,low_success,0.15326033782409623,0.6188799936222616,-0.3811200063777383,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.2,low_success,0.15354845388402436,0.6220533380327194,-0.3779466619672805,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.3,low_success,0.15605859062234903,0.6262853030894268,-0.3737146969105732,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.4,low_success,0.15605859062234903,0.6281352667950606,-0.3718647332049394,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.5,low_success,0.15605859062234903,0.6302514591174385,-0.36974854088256154,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.6,low_success,0.15605859062234903,0.6313096601756395,-0.36869033982436045,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.7,low_success,0.15605859062234903,0.6297231977644349,-0.37027680223556514,nested_pair_rank_structure_memory_antimemory_low_success,1,0.6
0.02,all_success,0.6075066399808668,0.1400651719443666,-0.39249336001913315,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.05,all_success,0.6114740547730239,0.1445696764488711,-0.3885259452269761,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.1,all_success,0.6143832685069799,0.15158431769170025,-0.3856167314930201,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.2,all_success,0.6199373555043658,0.1513113174187,-0.38006264449563415,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.3,all_success,0.6244328218555023,0.15608882219620476,-0.37556717814449775,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.4,all_success,0.6246967427379798,0.1538365699439525,-0.37530325726202013,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
