heldout_method,detector,n,failure_rate,auroc,auprc,brier,ece_10bin
af3,rank,697,0.36585365853658536,0.6953730813592405,0.5571371185930899,0.2147825271960401,0.0762215146700301
af3,rank_confidence,697,0.36585365853658536,0.8446899121639607,0.7474629768771479,0.15677033716915317,0.058436447490491025
af3,memory_only,697,0.36585365853658536,0.9422278413627895,0.9119646730329931,0.10542925420288451,0.08347328974222197
af3,rank_confidence_structure,697,0.36585365853658536,0.9429598083577322,0.9075481978060851,0.09592233345319814,0.05765275572545451
af3,rank_confidence_structure_memory,697,0.36585365853658536,0.9657173276550439,0.9450382721691581,0.07404743493363647,0.052713980658474886
af3_no_template,rank,697,0.35437589670014347,0.6660503823661719,0.48299575328489885,0.23092558237978514,0.11307546958313598
af3_no_template,rank_confidence,697,0.35437589670014347,0.8281016644174538,0.7175634214670384,0.16935977855734977,0.08684392146175209
af3_no_template,memory_only,697,0.35437589670014347,0.9494197031039135,0.9207192710739548,0.10324150166328866,0.1031290486358933
af3_no_template,rank_confidence_structure,697,0.35437589670014347,0.9255510571300046,0.8645633467648088,0.10893019218090023,0.06467002260481439
af3_no_template,rank_confidence_structure_memory,697,0.35437589670014347,0.9621772379667116,0.9325889746292549,0.07889296956876769,0.05391413377357462
boltz,rank,670,0.3940298507462687,0.6255924391700254,0.5122152866703243,0.2465118465637081,0.13471633130186988
boltz,rank_confidence,670,0.3940298507462687,0.8893118375876997,0.8327784442410671,0.13155132007580086,0.058309883746764345
boltz,memory_only,670,0.3940298507462687,0.9409706672637708,0.9160803979502982,0.09532450454489695,0.03482176562303998
boltz,rank_confidence_structure,670,0.3940298507462687,0.9353168383340797,0.9101305307335189,0.10143871740945991,0.05337105787210115
boltz,rank_confidence_structure_memory,670,0.3940298507462687,0.9645656068069862,0.9469654166908674,0.06998124955752631,0.04789418684214034
boltz1x,rank,666,0.37987987987987987,0.6490013302835707,0.5220556133809973,0.24736325021008643,0.16306151485795883
boltz1x,rank_confidence,666,0.37987987987987987,0.8845045889997989,0.8328191561685692,0.14705789562520022,0.10467612837157449
boltz1x,memory_only,666,0.37987987987987987,0.9446401056570548,0.9170611997169236,0.09493138913059042,0.05904108432696773
boltz1x,rank_confidence_structure,666,0.37987987987987987,0.9364909224894487,0.8891485929488634,0.09796919087001853,0.05606107054269937
boltz1x,rank_confidence_structure_memory,666,0.37987987987987987,0.9599479371034272,0.9299760486373791,0.07649562619775682,0.03531091838665463
boltz2,rank,630,0.30634920634920637,0.6677238828090727,0.45074871512589876,0.22034473998889845,0.15369943442247003
boltz2,rank_confidence,630,0.30634920634920637,0.8358390343960825,0.7015982151356007,0.16021336114237378,0.11253433966655646
boltz2,memory_only,630,0.30634920634920637,0.8536832619959451,0.7591211430716277,0.14904992952374288,0.09457377864050624
boltz2,rank_confidence_structure,630,0.30634920634920637,0.8737624642819033,0.7566293960372448,0.13374878213351263,0.06811920008772054
boltz2,rank_confidence_structure_memory,630,0.30634920634920637,0.9131976144461176,0.8099152367893524,0.11484202669823941,0.05905627101587768
chai,rank,680,0.4073529411764706,0.5984717506785749,0.4826927747610319,0.27055570626180747,0.16644373954064642
chai,rank_confidence,680,0.4073529411764706,0.7499977604787201,0.6182267925142471,0.30377928564450685,0.32039121447609276
chai,memory_only,680,0.4073529411764706,0.9145577841280648,0.8718979772051428,0.11352649610979455,0.03844487001031526
chai,rank_confidence_structure,680,0.4073529411764706,0.8715410593831463,0.8049153642674249,0.21915827070674848,0.2289768712010541
chai,rank_confidence_structure_memory,680,0.4073529411764706,0.9161971137049744,0.8786343730884313,0.1451774037374414,0.1387462567293352
protenix,rank,687,0.4163027656477438,0.5965810996983066,0.4608166910253552,0.2803101879262914,0.20774001817113066
protenix,rank_confidence,687,0.4163027656477438,0.637924419719931,0.5575692831620511,0.32164228777084036,0.2934852511338491
protenix,memory_only,687,0.4163027656477438,0.9363479413354725,0.9129145467807412,0.09639524241804569,0.036645676368916226
protenix,rank_confidence_structure,687,0.4163027656477438,0.812810630765743,0.7382724933524684,0.2459202508771674,0.22515981444016867
protenix,rank_confidence_structure_memory,687,0.4163027656477438,0.9181329892053083,0.8741137046374459,0.17345374203667846,0.17356348723375722
