detector,flagged_fraction,flagged_n,flagged_failure_rate,failure_enrichment,failure_capture_rate,retained_coverage,retained_success,global_success,retained_success_delta,flagged_failure_rescueable_rate,actionable_flag_rate
rank,0.05,237,0.6244725738396625,1.6630320318535687,0.08338028169014085,0.94986249206685,0.6376391982182628,0.6244975671673365,0.01314163105092625,0.19594594594594594,0.12236286919831224
rank,0.1,473,0.5602536997885835,1.4920108388172588,0.14929577464788732,0.8999365348000846,0.6450399623883404,0.6244975671673365,0.020542395221003873,0.2188679245283019,0.1226215644820296
rank,0.2,946,0.5539112050739958,1.4751201500759314,0.2952112676056338,0.7998730696001692,0.6691351494313673,0.6244975671673365,0.044637582264030806,0.22519083969465647,0.12473572938689217
rank,0.3,1419,0.5221987315010571,1.3906667063692941,0.41746478873239434,0.6998096044002539,0.6874244256348246,0.6244975671673365,0.06292685846748813,0.23076923076923078,0.12050739957716702
rank,0.4,1891,0.5018508725542041,1.3364783518668861,0.5346478873239436,0.599957689866723,0.7087447108603667,0.6244975671673365,0.08424714369303021,0.23076923076923078,0.11581173982020095
rank,0.5,2364,0.477580372250423,1.2718436166916898,0.636056338028169,0.4998942246668077,0.7266187050359711,0.6244975671673365,0.10212113786863464,0.2267493356953056,0.10829103214890017
rank_confidence,0.05,237,0.8860759493670886,2.3597076127651984,0.11830985915492957,0.94986249206685,0.6514476614699332,0.6244975671673365,0.02695009430259665,0.14761904761904762,0.1308016877637131
rank_confidence,0.1,473,0.828752642706131,2.2070499955334544,0.2208450704225352,0.8999365348000846,0.6748942172073342,0.6244975671673365,0.050396650039997715,0.14540816326530612,0.12050739957716702
rank_confidence,0.2,946,0.7748414376321353,2.063479141232171,0.41295774647887323,0.7998730696001692,0.7244115313409152,0.6244975671673365,0.09991396417357867,0.17462482946793997,0.13530655391120508
rank_confidence,0.3,1419,0.7209302325581395,1.9199082869308874,0.5763380281690141,0.6998096044002539,0.7726723095525998,0.6244975671673365,0.1481747423852633,0.20821114369501467,0.15010570824524314
rank_confidence,0.4,1891,0.6583818085668959,1.7533356670961784,0.7014084507042253,0.599957689866723,0.81311706629055,0.6244975671673365,0.18861949912321352,0.2216867469879518,0.14595452141723955
rank_confidence,0.5,2364,0.5989847715736041,1.5951555015371417,0.7977464788732395,0.4998942246668077,0.8480744815911976,0.6244975671673365,0.22357691442386107,0.22810734463276836,0.13663282571912014
memory_only,0.05,237,0.8734177215189873,2.32599750401141,0.11661971830985915,0.94986249206685,0.6507795100222717,0.6244975671673365,0.026281942854935236,0.11594202898550725,0.10126582278481013
memory_only,0.1,473,0.8562367864693446,2.2802429800792066,0.22816901408450704,0.8999365348000846,0.6779501645510109,0.6244975671673365,0.05345259738367436,0.10617283950617284,0.09090909090909091
memory_only,0.2,946,0.7854122621564482,2.0916302891343834,0.41859154929577463,0.7998730696001692,0.7270563343030945,0.6244975671673365,0.10255876713575796,0.1440107671601615,0.113107822410148
memory_only,0.3,1419,0.711768851303735,1.8955106254156369,0.5690140845070423,0.6998096044002539,0.7687424425634825,0.6244975671673365,0.14424487539614594,0.16237623762376238,0.11557434813248767
memory_only,0.4,1891,0.6467477525118984,1.7223530288021092,0.6890140845070423,0.599957689866723,0.8053596614950634,0.6244975671673365,0.18086209432772693,0.1733442354865086,0.1121099947117927
memory_only,0.5,2364,0.6027918781725888,1.605294201758776,0.8028169014084507,0.4998942246668077,0.8518831993228946,0.6244975671673365,0.22738563215555807,0.1887719298245614,0.11379018612521151
rank_confidence_ligand,0.05,237,0.9156118143459916,2.4383645331907053,0.12225352112676056,0.94986249206685,0.6530066815144766,0.6244975671673365,0.028509114347140097,0.1336405529953917,0.12236286919831224
rank_confidence_ligand,0.1,473,0.8773784355179705,2.3365452758836316,0.23380281690140844,0.8999365348000846,0.6803008932769159,0.6244975671673365,0.05580332610957939,0.1686746987951807,0.14799154334038056
rank_confidence_ligand,0.2,946,0.8224101479915433,2.190159306792127,0.4383098591549296,0.7998730696001692,0.7363131446707221,0.6244975671673365,0.11181557750338555,0.18123393316195371,0.14904862579281183
rank_confidence_ligand,0.3,1419,0.7498238195912614,1.9968547578636016,0.5994366197183099,0.6998096044002539,0.7850665054413543,0.6244975671673365,0.16056893827401775,0.20018796992481203,0.15010570824524314
rank_confidence_ligand,0.4,1891,0.6879957694341619,1.8322005645719903,0.7329577464788732,0.599957689866723,0.8328631875881524,0.6244975671673365,0.20836562042081586,0.20522674865488086,0.14119513484928609
rank_confidence_ligand,0.5,2364,0.626057529610829,1.6672529253354302,0.8338028169014085,0.4998942246668077,0.8751586965721541,0.6244975671673365,0.25066112940481755,0.21756756756756757,0.1362098138747885
rank_confidence_structure,0.05,237,0.9535864978902954,2.539494859452071,0.12732394366197183,0.94986249206685,0.6550111358574611,0.6244975671673365,0.03051356869012456,0.1504424778761062,0.14345991561181434
rank_confidence_structure,0.1,473,0.9154334038054969,2.4378894083315963,0.24394366197183098,0.8999365348000846,0.684532204983545,0.6244975671673365,0.060034637816208436,0.15935334872979215,0.14587737843551796
